matrix;1
50;0.000024
100;0.000085
1000;0.025495

matrix;1
50;0.002520
100;0.002172
1000;0.016076

matrix;1
50;0.000285
100;0.000374
1000;0.147544

matrix;1;2;4
50;0.003094;0.003067;0.004616
100;0.003847;0.003041;0.003863
1000;0.239774;0.802876;11.339501
